region_name,population,density,average_age,0_14,15_64,65_
Lombardia,10060574,422,45.4,13.7  %,63.8  %,22.6  %
Lazio,5879082,341,45.3,13.3  %,65  %,21.7  %
Campania,5801692,424,43.0,14.5  %,66.7  %,18.8  %
Sicilia,4999891,194,44.3,13.8  %,65  %,21.2  %
Veneto,4905854,267,45.9,13.3  %,63.8  %,22.9  %
Emilia-Romagna,4459477,199,46.3,13.1  %,62.9  %,23.9  %
Piemonte,4356406,172,47.2,12.4  %,62.1  %,25.5  %
Puglia,4029053,206,45.1,13.1  %,64.8  %,22.1  %
Toscana,3729641,162,47.2,12.4  %,62.2  %,25.4  %
Calabria,1947131,128,44.8,13.2  %,64.8  %,21.6  %
Sardegna,1639591,68,47.2,11.2  %,65  %,24.6  %
Liguria,1550640,286,49.1,11.1  %,60.4  %,28.5  %
Marche,1525271,162,46.9,12.6  %,62.6  %,24.8  %
Abruzzo,1311580,121,46.4,12.4  %,63.8  %,23.8  %
Friuli Venezia Giulia,1215220,153,47.7,12  %,61.8  %,26.2  %
Trentino-Alto Adige,1072276,79,44.0,15  %,64.1  %,20.8  %
Umbria,882015,104,47.2,12.5  %,61.9  %,25.6  %
Basilicata,562869,56,46.1,11.9  %,65.1  %,23  %
Molise,305617,69,47.1,11.3  %,64  %,24.6  %
Valle d'Aosta,125666,39,46.4,13.1  %,63  %,23.8  %
